,"CREDIT: Skrine, NoTex",,,,,,,,,,,,,,
,CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,,,,,
,NOT ACTUAL TIMES // JUST ESTIMATES,,,,,,CARRIER BOMB TIMES,,,,Solo Zombie Count,Zombie round,Solo Spawn Delay,Round times?,Random AW Zombies information
ROUND,1P,2P,3P,4P,30sr,50sr,1P,2P,3P,4P,---------------------------,---------------------------,---------------------------,---------------------------,-----------------------------------------------------------------------------------------------------------------------------------------
1,0:13,0:15,0:18,0:22,MK,MK,N/A,N/A,N/A,N/A,6,1,2,12,drops last 23 seconds... blinking start 15 seconds in which means you have about 8 seconds of blinking
2,0:15,0:18,0:21,0:25,,,N/A,N/A,N/A,N/A,8,2,1.9,15.2,
3,0:33,0:38,0:40,0:48,,,N/A,N/A,N/A,N/A,18,3,1.81,32.58,Spawn delay = 2 x .95 ^ (Round - 1) === Max spawn rate is round 64 = .08
4,0:40,0:45,0:50,1:05,,,N/A,N/A,N/A,N/A,24,4,1.71,41.04,
5,0:41,0:48,0:55,1:08,,,N/A,N/A,N/A,N/A,27,5,1.63,44.01,Solo Zombie count calculator = 24 + (.5 x 6 x ((round/5) x (round x .15)))
6,0:42,0:48,0:57,1:10,,,N/A,N/A,N/A,N/A,27,6,1.55,41.85,
7,0:42,0:50,0:58,1:12,,,N/A,N/A,N/A,N/A,28,7,1.47,41.16,
8,0:42,0:51,0:58,1:13,,,1:15,1:10,1:05,1:00,28,8,1.4,39.2,
9,0:42,0:51,1:00,1:15,,,1:15,1:10,1:05,1:00,29,9,1.33,38.57,
10,0:44,0:52,1:12,1:33,,,1:00,0:55,0:50,0:45,33,10,1.26,41.58,
11,0:45,0:54,1:13,1:50,2,,1:00,0:55,0:50,0:45,35,11,1.2,42,
12,0:45,0:56,1:25,2:00,3,,1:00,0:55,0:50,0:45,37,12,1.14,42.18,
13,0:45,1:00,1:33,2:05,4,2,1:00,0:55,0:50,0:45,40,13,1.08,43.2,
14,0:45,1:02,1:40,2:15,5,,1:00,0:55,0:50,0:45,42,14,1.03,43.26,
15,0:46,1:07,1:48,2:25,6,3,1:00,0:55,0:50,0:45,45,15,0.98,44.1,
16,0:47,1:08,1:50,2:35,7,,1:00,0:55,0:50,0:45,48,16,0.93,44.64,
17,0:47,1:10,1:57,2:45,8,4,1:00,0:55,0:50,0:45,51,17,0.88,44.88,
18,0:48,1:12,2:05,2:50,9,,1:00,0:55,0:50,0:45,54,18,0.84,45.36,
19,0:48,1:13,2:07,2:55,10,5,1:00,0:55,0:50,0:45,57,19,0.79,45.03,
20,0:47,1:16,2:07,3:05,11,,0:35,0:30,0:30,0:25,60,20,0.75,45,
21,0:47,1:16,2:07,3:15,12,6,0:35,0:30,0:30,0:25,64,21,0.72,46.08,
22,0:48,1:18,2:20,3:25,13,,0:35,0:30,0:30,0:25,68,22,0.68,46.24,
23,0:49,1:21,2:20,3:25,14,7,0:35,0:30,0:30,0:25,72,23,0.65,46.8,
24,0:49,1:21,2:20,3:27,15,,0:35,0:30,0:30,0:25,76,24,0.61,46.36,
25,0:50,1:23,2:30,3:35,16,8,0:35,0:30,0:30,0:25,81,25,0.58,46.98,
26,0:50,1:24,2:30,3:40,17,,0:35,0:30,0:30,0:25,85,26,0.55,46.75,
27,0:52,1:27,2:35,3:45,18,9,0:35,0:30,0:30,0:25,90,27,0.53,47.7,
28,0:53,1:28,2:40,3:48,19,,0:35,0:30,0:30,0:25,95,28,0.5,47.5,
29,0:55,1:30,2:45,4:00,20,10,0:35,0:30,0:30,0:25,100,29,0.48,48,
30,,,,,,,0:30,0:27,0:23,0:20,105,30,0.45,47.25,
31,,,,,,11,0:30,0:27,0:23,0:20,111,31,0.43,47.73,
32,,,,,,,0:30,0:27,0:23,0:20,117,32,0.41,47.97,
33,,,,,,12,0:30,0:27,0:23,0:20,123,33,0.39,47.97,
34,,,,,,,0:30,0:27,0:23,0:20,129,34,0.37,47.73,
35,,,,,,13,0:30,0:27,0:23,0:20,135,35,0.35,47.25,
36,,,,,,,0:30,0:27,0:23,0:20,141,36,0.33,46.53,
37,,,,,,14,0:30,0:27,0:23,0:20,148,37,0.32,47.36,
38,,,,,,,0:30,0:27,0:23,0:20,154,38,0.3,46.2,
39,,,,,,15,0:30,0:27,0:23,0:20,161,39,0.28,45.08,
40,,,,,,,0:30,0:27,0:23,0:20,168,40,0.27,45.36,
41,,,,,,16,0:30,0:27,0:23,0:20,176,41,0.26,45.76,
42,,,,,,,0:30,0:27,0:23,0:20,183,42,0.24,43.92,
43,,,,,,17,0:30,0:27,0:23,0:20,191,43,0.23,43.93,
44,,,,,,,0:30,0:27,0:23,0:20,199,44,0.22,43.78,
45,,,,,,18,0:30,0:27,0:23,0:20,207,45,0.21,43.47,
46,,,,,,,0:30,0:27,0:23,0:20,215,46,0.2,43,
47,,,,,,19,0:30,0:27,0:23,0:20,223,47,0.19,42.37,
48,,,,,,,0:30,0:27,0:23,0:20,232,48,0.18,41.76,
49,,,,,,20,0:30,0:27,0:23,0:20,241,49,0.17,40.97,
50,,,,,,,0:30,0:27,0:23,0:20,249,50,0.16,39.84,
51,,,,,,,0:30,0:27,0:23,0:20,259,51,0.15,38.85,
52,,,,,,,0:30,0:27,0:23,0:20,268,52,0.15,40.2,
53,,,,,,,0:30,0:27,0:23,0:20,277,53,0.14,38.78,
54,,,,,,,0:30,0:27,0:23,0:20,287,54,0.13,37.31,
55,,,,,,,0:30,0:27,0:23,0:20,297,55,0.13,38.61,
56,,,,,,,0:30,0:27,0:23,0:20,307,56,0.12,36.84,
57,,,,,,,0:30,0:27,0:23,0:20,317,57,0.11,34.87,
58,,,,,,,0:30,0:27,0:23,0:20,327,58,0.11,35.97,
59,,,,,,,0:30,0:27,0:23,0:20,338,59,0.1,33.8,
60,,,,,,,0:30,0:27,0:23,0:20,348,60,0.1,34.8,
61,,,,,,,0:30,0:27,0:23,0:20,359,61,0.1,35.9,
62,,,,,,,0:30,0:27,0:23,0:20,370,62,0.1,37,
63,,,,,,,0:30,0:27,0:23,0:20,382,63,0.1,38.2,
64,,,,,,,0:30,0:27,0:23,0:20,393,64,0.1,39.3,
65,,,,,,,0:30,0:27,0:23,0:20,405,65,0.1,40.5,
66,,,,,,,0:30,0:27,0:23,0:20,417,66,0.1,41.7,
67,,,,,,,0:30,0:27,0:23,0:20,429,67,0.1,42.9,
68,,,,,,,0:30,0:27,0:23,0:20,441,68,0.1,44.1,
69,,,,,,,0:30,0:27,0:23,0:20,453,69,0.1,45.3,
70,,,,,,,0:30,0:27,0:23,0:20,465,70,0.1,46.5,
71,,,,,,,0:30,0:27,0:23,0:20,478,71,0.1,47.8,
72,,,,,,,0:30,0:27,0:23,0:20,491,72,0.1,49.1,
73,,,,,,,0:30,0:27,0:23,0:20,504,73,0.1,50.4,
74,,,,,,,0:30,0:27,0:23,0:20,517,74,0.1,51.7,
75,,,,,,,0:30,0:27,0:23,0:20,531,75,0.1,53.1,
76,,,,,,,0:30,0:27,0:23,0:20,544,76,0.1,54.4,
77,,,,,,,0:30,0:27,0:23,0:20,558,77,0.1,55.8,
78,,,,,,,0:30,0:27,0:23,0:20,572,78,0.1,57.2,
79,,,,,,,0:30,0:27,0:23,0:20,586,79,0.1,58.6,
80,,,,,,,0:30,0:27,0:23,0:20,600,80,0.1,60,
81,,,,,,,0:30,0:27,0:23,0:20,615,81,0.1,61.5,
82,,,,,,,0:30,0:27,0:23,0:20,630,82,0.1,63,
83,,,,,,,0:30,0:27,0:23,0:20,645,83,0.1,64.5,
84,,,,,,,0:30,0:27,0:23,0:20,660,84,0.1,66,
85,,,,,,,0:30,0:27,0:23,0:20,675,85,0.1,67.5,
86,,,,,,,0:30,0:27,0:23,0:20,690,86,0.1,69,
87,,,,,,,0:30,0:27,0:23,0:20,706,87,0.1,70.6,
88,,,,,,,0:30,0:27,0:23,0:20,721,88,0.1,72.1,
89,,,,,,,0:30,0:27,0:23,0:20,737,89,0.1,73.7,
90,,,,,,,0:30,0:27,0:23,0:20,753,90,0.1,75.3,
91,,,,,,,0:30,0:27,0:23,0:20,770,91,0.1,77,
92,,,,,,,0:30,0:27,0:23,0:20,786,92,0.1,78.6,
93,,,,,,,0:30,0:27,0:23,0:20,803,93,0.1,80.3,
94,,,,,,,0:30,0:27,0:23,0:20,820,94,0.1,82,
95,,,,,,,0:30,0:27,0:23,0:20,837,95,0.1,83.7,
96,,,,,,,0:30,0:27,0:23,0:20,854,96,0.1,85.4,
97,,,,,,,0:30,0:27,0:23,0:20,871,97,0.1,87.1,
98,,,,,,,0:30,0:27,0:23,0:20,889,98,0.1,88.9,
99,,,,,,,0:30,0:27,0:23,0:20,907,99,0.1,90.7,
100,,,,,,,0:30,0:27,0:23,0:20,924,100,0.1,92.4,